Alter,Anzahl,Anteil
Unter 1 Jahr,737780,0.00875
1-Jährige,816186,0.00968
2-Jährige,800812,0.00949
3-Jährige,809359,0.00959
4-Jährige,824544,0.00977
5-Jährige,832873,0.00987
6-Jährige,838586,0.00994
7-Jährige,814051,0.00965
8-Jährige,806355,0.00956
9-Jährige,778912,0.00923
10-Jährige,777841,0.00922
11-Jährige,760690,0.00902
12-Jährige,777955,0.00922
13-Jährige,767132,0.00909
14-Jährige,785901,0.00932
15-Jährige,779567,0.00924
16-Jährige,766759,0.00909
17-Jährige,776420,0.0092
18-Jährige,800371,0.00949
19-Jährige,808979,0.00959
20-Jährige,835379,0.0099
21-Jährige,866911,0.01028
22-Jährige,920768,0.01091
23-Jährige,939435,0.01114
24-Jährige,967234,0.01147
25-Jährige,1008816,0.01196
26-Jährige,1002870,0.01189
27-Jährige,985773,0.01169
28-Jährige,996246,0.01181
29-Jährige,1022711,0.01212
30-Jährige,1037159,0.01229
31-Jährige,1069698,0.01268
32-Jährige,1160820,0.01376
33-Jährige,1144607,0.01357
34-Jährige,1169014,0.01386
35-Jährige,1142682,0.01355
36-Jährige,1122276,0.0133
37-Jährige,1086924,0.01288
38-Jährige,1078534,0.01279
39-Jährige,1078631,0.01279
40-Jährige,1095007,0.01298
41-Jährige,1083334,0.01284
42-Jährige,1086248,0.01288
43-Jährige,1032747,0.01224
44-Jährige,1016097,0.01204
45-Jährige,1004229,0.0119
46-Jährige,983351,0.01166
47-Jährige,956283,0.01134
48-Jährige,965550,0.01145
49-Jährige,969879,0.0115
50-Jährige,1045286,0.01239
51-Jährige,1142988,0.01355
52-Jährige,1180662,0.014
53-Jährige,1261957,0.01496
54-Jährige,1316302,0.0156
55-Jährige,1344789,0.01594
56-Jährige,1374952,0.0163
57-Jährige,1372620,0.01627
58-Jährige,1392544,0.01651
59-Jährige,1374228,0.01629
60-Jährige,1324932,0.01571
61-Jährige,1297597,0.01538
62-Jährige,1247462,0.01479
63-Jährige,1203379,0.01427
64-Jährige,1128835,0.01338
65-Jährige,1093006,0.01296
66-Jährige,1053177,0.01248
67-Jährige,1010953,0.01198
68-Jährige,981855,0.01164
69-Jährige,940615,0.01115
70-Jährige,929155,0.01101
71-Jährige,899169,0.01066
72-Jährige,887427,0.01052
73-Jährige,845881,0.01003
74-Jährige,759396,0.009
75-Jährige,701311,0.00831
76-Jährige,597377,0.00708
77-Jährige,513256,0.00608
78-Jährige,670318,0.00795
79-Jährige,664178,0.00787
80-Jährige,624797,0.00741
81-Jährige,732111,0.00868
82-Jährige,735288,0.00872
83-Jährige,687916,0.00815
84 Jahre und älter,3332840,0.0395
